experiment,objective,tire_set,simulation_id,final_gap,winner,A_wins,B_wins,tie,start_tire_A,start_tire_B,n_pits_A,n_pits_B,had_VSC,had_SC,mean_gap_race,std_gap_race
EXP_SH_win,win,"[1, 3]",7597,0.20000000000000462,B,0,1,0,3,1,3,1,0,1,0.7142857142857194,1.7233095828571696
EXP_SH_win,win,"[1, 3]",7598,-0.9999999999999964,A,1,0,0,1,3,2,1,1,0,-0.9523809523809488,0.5687237572127098
EXP_SH_win,win,"[1, 3]",7599,-0.19999999999999574,A,1,0,0,1,3,1,1,0,0,-1.2380952380952348,0.6491578357315043
EXP_SH_win,win,"[1, 3]",7600,-1.9999999999999973,A,1,0,0,1,3,1,3,0,0,-1.1428571428571395,1.6249751437136137
EXP_SH_win,win,"[1, 3]",7601,-0.5999999999999961,A,1,0,0,1,3,1,1,1,0,-1.3238095238095207,0.5739626351740714
EXP_SH_win,win,"[1, 3]",7602,-0.9999999999999964,A,1,0,0,1,3,2,1,1,1,-0.8095238095238058,0.6457957526919886
EXP_SH_win,win,"[1, 3]",7603,-0.7999999999999963,A,1,0,0,1,1,1,1,1,0,-0.952380952380949,0.9214993205273824
EXP_SH_win,win,"[1, 3]",7604,-0.5999999999999961,A,1,0,0,1,3,1,1,0,0,-1.2190476190476158,1.0599276918819238
EXP_SH_win,win,"[1, 3]",7605,-0.9999999999999964,A,1,0,0,1,1,3,3,0,0,-1.1904761904761871,1.4806384600681932
EXP_SH_win,win,"[1, 3]",7606,0.8000000000000052,B,0,1,0,1,3,1,1,0,1,-0.6571428571428533,1.1282398548482628
EXP_SH_win,win,"[1, 3]",7607,2.2000000000000064,B,0,1,0,1,3,1,2,0,1,-0.06666666666666228,1.2115842966696582
EXP_SH_win,win,"[1, 3]",7608,-1.599999999999997,A,1,0,0,1,3,1,3,0,0,-0.9142857142857108,1.8232064152621523
EXP_SH_win,win,"[1, 3]",7609,-0.7999999999999963,A,1,0,0,3,3,2,6,0,0,-2.3333333333333313,1.881573134458894
EXP_SH_win,win,"[1, 3]",7610,-0.5999999999999961,A,1,0,0,1,3,1,1,1,0,-1.3714285714285683,0.5632751650522384
EXP_SH_win,win,"[1, 3]",7611,-1.9999999999999973,A,1,0,0,1,3,1,3,0,0,-1.1047619047619013,1.6717473580134494
EXP_SH_win,win,"[1, 3]",7612,-0.19999999999999574,A,1,0,0,1,3,1,1,0,0,-1.2380952380952348,0.6491578357315043
EXP_SH_win,win,"[1, 3]",7613,0.20000000000000462,B,0,1,0,1,1,3,1,0,1,0.7238095238095289,1.1571330589434285
EXP_SH_win,win,"[1, 3]",7614,-0.7999999999999963,A,1,0,0,3,1,1,1,0,0,0.7238095238095289,1.1911997800955874
EXP_SH_win,win,"[1, 3]",7615,-1.3999999999999968,A,1,0,0,1,3,1,2,0,1,-0.18095238095237667,1.2171860786721895
EXP_SH_win,win,"[1, 3]",7616,-0.9999999999999964,A,1,0,0,3,3,2,6,0,0,-2.3523809523809507,1.8669096051825615
