experiment,objective,tire_set,simulation_id,final_gap,winner,A_wins,B_wins,tie,start_tire_A,start_tire_B,n_pits_A,n_pits_B,had_VSC,had_SC,mean_gap_race,std_gap_race
EXP_SM_win,win,"[1, 2]",59,-5.0,A,1,0,0,1,1,2,3,0,0,-1.7238095238095212,1.695345100956697
EXP_SM_win,win,"[1, 2]",60,-0.19999999999999574,A,1,0,0,2,1,1,1,0,0,1.371428571428577,1.0443238218569761
EXP_SM_win,win,"[1, 2]",61,-3.1999999999999984,A,1,0,0,1,1,2,3,0,0,-0.9809523809523775,1.810976860207944
EXP_SM_win,win,"[1, 2]",62,0.600000000000005,B,0,1,0,2,2,1,1,1,0,-0.9428571428571393,1.4211234417652454
EXP_SM_win,win,"[1, 2]",63,-0.7999999999999963,A,1,0,0,1,2,1,3,0,0,-0.7999999999999962,1.8351073667824054
EXP_SM_win,win,"[1, 2]",64,1.6000000000000059,B,0,1,0,2,1,1,1,1,0,1.5809523809523869,1.0653052536464438
EXP_SM_win,win,"[1, 2]",65,-0.7999999999999963,A,1,0,0,1,2,1,3,0,0,-0.7809523809523772,1.7930073294458997
EXP_SM_win,win,"[1, 2]",66,-5.0,A,1,0,0,1,1,2,3,0,0,-1.5714285714285683,1.7944737541746811
EXP_SM_win,win,"[1, 2]",67,-5.0,A,1,0,0,1,1,2,3,0,0,-1.638095238095235,1.7431433540688706
EXP_SM_win,win,"[1, 2]",68,-4.8,A,1,0,0,1,1,2,3,0,0,-1.6380952380952354,1.695505596872198
EXP_SM_win,win,"[1, 2]",69,-0.7999999999999963,A,1,0,0,2,1,2,3,1,1,-0.8190476190476155,0.9338191155623078
EXP_SM_win,win,"[1, 2]",70,-0.9999999999999964,A,1,0,0,2,2,2,2,0,0,-1.1809523809523776,1.191884880834135
EXP_SM_win,win,"[1, 2]",71,-0.9999999999999964,A,1,0,0,2,1,1,1,0,0,0.8761904761904815,0.9349839631447537
EXP_SM_win,win,"[1, 2]",72,-1.599999999999997,A,1,0,0,2,1,1,1,0,0,0.4952380952381001,1.043107167245187
EXP_SM_win,win,"[1, 2]",73,5.000000000000009,B,0,1,0,2,1,1,2,1,0,1.066666666666672,1.889654373369283
EXP_SM_win,win,"[1, 2]",74,-5.0,A,1,0,0,1,1,2,3,0,0,-1.6571428571428544,1.7327576228635793
EXP_SM_win,win,"[1, 2]",75,0.20000000000000462,B,0,1,0,1,2,2,2,0,1,0.4857142857142906,1.3303367687797518
EXP_SM_win,win,"[1, 2]",76,0.8000000000000052,B,0,1,0,1,2,2,1,1,0,-0.06666666666666228,0.7311656273397811
EXP_SM_win,win,"[1, 2]",77,-1.3999999999999968,A,1,0,0,2,1,1,1,0,0,0.8761904761904815,1.1571330589434285
